,Calmer Growth,Transition,Stress
Calmer Growth,0.8929887491672553,0.0650995662845323,0.0419116845482122
Transition,0.0753124429614908,0.8362742325054655,0.0884133245330437
Stress,0.0512299469571521,0.2334219361738479,0.7153481168689999
