date,prob_calmer_growth,prob_transition,prob_stress
2017-05-31,0.8849301375536924,0.11506986232033903,1.259684691560265e-10
2017-06-30,0.88687951866185,0.11312042605776546,5.5280384660210235e-08
2017-07-31,0.8864161179686432,0.11358385893820938,2.3093147380226113e-08
2017-08-31,0.8832916192889474,0.11670834012245382,4.0588598816347615e-08
2017-09-30,0.8861048786459587,0.11379472453330021,0.00010039682074115473
2017-10-31,0.8933557080021908,0.10655514052987854,8.915146793071618e-05
2017-11-30,0.8909222615981296,0.10867407967210344,0.00040365872976689713
2017-12-31,0.8881758582452933,0.11001514308254948,0.0018089986721571817
2018-01-31,0.9028059395862695,0.09616228971015485,0.0010317707035756279
2018-02-28,0.5841182096460256,0.1963282616224268,0.21955352873154768
2018-03-31,0.314616964004871,0.2271698180506917,0.45821321794443726
2018-04-30,0.7866306603233969,0.15285619718524754,0.060513142491355504
2018-05-31,0.8737346990480265,0.12499493631340709,0.001270364638566305
2018-06-30,0.8172068376464692,0.13675600724045298,0.04603715511307778
2018-07-31,0.8789831199912354,0.12078681614743317,0.00023006386133159464
2018-08-31,0.880922872708378,0.11860185120001951,0.00047527609160250993
2018-09-30,0.8720838685103627,0.12212276436167606,0.005793367127961265
2018-10-31,0.22835862513358787,0.1761405796089044,0.5955007952575077
2018-11-30,0.8769297045111506,0.12253805820204781,0.000532237286801642
2018-12-31,6.866941870544885e-07,0.05657701363385001,0.9434222996719629
2019-01-31,0.01105722521895808,0.08229846312861604,0.9066443116524258
2019-02-28,0.7984578022465028,0.1292267415448704,0.0723154562086269
2019-03-31,0.8351738993173501,0.1292946185653456,0.03553148211730428
2019-04-30,0.8695986473514078,0.12065679715556339,0.009744555493028889
2019-05-31,0.25611132988896385,0.16938583962128997,0.5745028304897462
2019-06-30,0.46310542992715364,0.21633021056921645,0.32056435950362994
2019-07-31,0.882103625763219,0.11184337679915865,0.0060529974376224436
2019-08-31,0.06996900952822976,0.12587504305463462,0.8041559474171357
2019-09-30,0.8705997906402255,0.11170160250381389,0.017698606855960492
2019-10-31,0.8579188069485073,0.13196060167528043,0.010120591376212266
2019-11-30,0.8750114265374976,0.12046502675243004,0.0045235467100724625
2019-12-31,0.9016772812118602,0.09827428370966115,4.843507847863963e-05
2020-01-31,0.8807335866110654,0.11913538197574192,0.00013103141319290403
2020-02-29,0.001889089728840006,0.10246005040745192,0.8956508598637082
2020-03-31,1.0669195637351272e-51,0.0,1.0
2020-04-30,3.5680233723260865e-17,0.03303078170007629,0.9669692182999238
2020-05-31,2.78004228511187e-36,1.0,2.4217270414836878e-34
2020-06-30,0.00020366853852556033,0.10588082114486026,0.8939155103166141
2020-07-31,0.006383158444423306,0.1249459674550792,0.8686708741004976
2020-08-31,0.6359476668941465,0.18307732317346015,0.18097500993239343
2020-09-30,0.01737469800450767,0.12142643919795998,0.8611988627975323
2020-10-31,0.002115782917904884,0.10709265027296885,0.8907915668091263
2020-11-30,0.00022012115355871125,0.11602674359653614,0.8837531352499051
2020-12-31,0.7040094025525441,0.17623362250974797,0.11975697493770797
2021-01-31,0.30972426197050895,0.23076923076901562,0.45950650726047537
2021-02-28,0.4889549127055305,0.2115778305534031,0.29946725674106645
