date,prob_calmer_growth,prob_transition,prob_stress,assigned_regime
2017-05-31,1.0,2.150854241299409e-18,7.516812945755671e-39,Calmer Growth
2017-06-30,0.9999394641060584,6.053589396524919e-05,6.1329880741055505e-21,Calmer Growth
2017-07-31,0.999999999949864,5.0094872622088113e-11,1.9866762743466244e-22,Calmer Growth
2017-08-31,0.9999112689278902,8.87310721137696e-05,2.4062258491839714e-22,Calmer Growth
2017-09-30,0.99999957759653,4.224034164199889e-07,3.595523049607698e-16,Calmer Growth
2017-10-31,0.9999998549769876,1.450230167918089e-07,1.6330647719076848e-17,Calmer Growth
2017-11-30,0.9999981132355806,1.886675577538326e-06,8.88502837734615e-11,Calmer Growth
2017-12-31,0.9999994719229592,5.254073837464337e-07,2.669606109997376e-09,Calmer Growth
2018-01-31,0.9999987581182704,3.88600381138044e-07,8.53281385998371e-07,Calmer Growth
2018-02-28,0.0001900413579538,0.999659446935583,0.0001505117064925,Transition
2018-03-31,7.608816320093152e-05,0.9962797890118064,0.0036441228249975,Transition
2018-04-30,0.0899587964454084,0.9096462563504532,0.0003949472041672,Transition
2018-05-31,0.9952299917120953,0.0047700081024921,1.8546810534213577e-10,Calmer Growth
2018-06-30,0.9995304400649376,0.0004557331371678,1.382679793339772e-05,Calmer Growth
2018-07-31,0.9997316088464174,0.0002683876535705,3.4999656236382412e-09,Calmer Growth
2018-08-31,0.9999879139159524,1.2065291090424148e-05,2.0792923954285895e-08,Calmer Growth
2018-09-30,0.9997553242033618,5.2083467631380575e-05,0.0001925923290171,Calmer Growth
2018-10-31,0.0123625813789939,0.9848225959438784,0.002814822677111,Transition
2018-11-30,0.0001461556117117,0.9998538430231312,1.3651299849065142e-09,Transition
2018-12-31,2.0135505275984473e-11,0.0001287826143915,0.9998712173654348,Stress
2019-01-31,1.9317377653187256e-09,0.0005848255709282,0.9994151724973462,Stress
2019-02-28,0.9647301947353866,0.0224032154297323,0.0128665898348556,Calmer Growth
2019-03-31,0.9966765940437748,0.0031894230730201,0.0001339828831669,Calmer Growth
2019-04-30,0.993621009406578,0.0062003718838623,0.0001786187096131,Calmer Growth
2019-05-31,0.0053886428095263,0.9941857067543248,0.0004256504361614,Transition
2019-06-30,0.021827719650819,0.9594634116700896,0.0187088686790943,Transition
2019-07-31,0.9909984216503936,0.0089968875449953,4.690804590229376e-06,Calmer Growth
2019-08-31,0.9979410047707908,8.163718435236575e-05,0.001977358044869,Calmer Growth
2019-09-30,0.9991855477015176,0.0007910142645849,2.343803385671065e-05,Calmer Growth
2019-10-31,0.9998320603711088,0.000146804234915,2.1135393953911333e-05,Calmer Growth
2019-11-30,0.9999981367564338,1.2088047741359248e-06,6.544387690949777e-07,Calmer Growth
2019-12-31,0.999999992466087,1.3799985893230575e-11,7.520106974764847e-09,Calmer Growth
2020-01-31,0.9930650176333492,0.0069253651421491,9.6172245304763e-06,Calmer Growth
2020-02-29,0.00136479693141,0.0006386920428462,0.9979965110258004,Stress
2020-03-31,6.215091155797288e-93,2.6332128523947166e-134,1.0,Stress
2020-04-30,3.9565654418345956e-66,1.268858819329134e-34,1.0,Stress
2020-05-31,4.3003135853177455e-66,1.0,1.6639198691120596e-25,Transition
