prob_state_1,prob_state_2,prob_state_3,date,assigned_state
1.0,2.1508542412994087e-18,7.516812945755672e-39,2017-05-31,1
0.9999394641060584,6.053589396524919e-05,6.132988074105551e-21,2017-06-30,1
0.9999999999498641,5.0094872622088113e-11,1.9866762743466244e-22,2017-07-31,1
0.9999112689278902,8.87310721137696e-05,2.4062258491839714e-22,2017-08-31,1
0.99999957759653,4.2240341641998887e-07,3.595523049607698e-16,2017-09-30,1
0.9999998549769876,1.450230167918089e-07,1.633064771907685e-17,2017-10-31,1
0.9999981132355806,1.886675577538326e-06,8.88502837734615e-11,2017-11-30,1
0.9999994719229592,5.254073837464337e-07,2.669606109997376e-09,2017-12-31,1
0.9999987581182703,3.88600381138044e-07,8.53281385998371e-07,2018-01-31,1
0.0001900413579538667,0.999659446935583,0.000150511706492504,2018-02-28,2
7.608816320093152e-05,0.9962797890118065,0.003644122824997588,2018-03-31,2
0.08995879644540845,0.9096462563504532,0.00039494720416724944,2018-04-30,2
0.9952299917120951,0.004770008102492167,1.854681053421358e-10,2018-05-31,1
0.9995304400649377,0.00045573313716781947,1.3826797933397719e-05,2018-06-30,1
0.9997316088464174,0.0002683876535705801,3.499965623638241e-09,2018-07-31,1
0.9999879139159524,1.2065291090424148e-05,2.0792923954285895e-08,2018-08-31,1
0.9997553242033618,5.2083467631380575e-05,0.0001925923290171746,2018-09-30,1
0.012362581378993917,0.9848225959438784,0.0028148226771110606,2018-10-31,2
0.0001461556117117244,0.9998538430231312,1.3651299849065142e-09,2018-11-30,2
2.0135505275984473e-11,0.00012878261439151057,0.9998712173654347,2018-12-31,3
1.9317377653187256e-09,0.0005848255709282829,0.9994151724973462,2019-01-31,3
0.9647301947353866,0.02240321542973233,0.01286658983485564,2019-02-28,1
0.9966765940437748,0.0031894230730201132,0.00013398288316693538,2019-03-31,1
0.9936210094065779,0.0062003718838623285,0.00017861870961310302,2019-04-30,1
0.005388642809526398,0.9941857067543247,0.00042565043616143837,2019-05-31,2
0.021827719650819016,0.9594634116700897,0.018708868679094364,2019-06-30,2
0.9909984216503935,0.008996887544995329,4.690804590229376e-06,2019-07-31,1
0.9979410047707908,8.163718435236575e-05,0.0019773580448690683,2019-08-31,1
0.9991855477015176,0.000791014264584953,2.343803385671065e-05,2019-09-30,1
0.9998320603711087,0.00014680423491503932,2.1135393953911333e-05,2019-10-31,1
0.9999981367564338,1.2088047741359248e-06,6.544387690949777e-07,2019-11-30,1
0.999999992466087,1.3799985893230575e-11,7.520106974764847e-09,2019-12-31,1
0.9930650176333492,0.0069253651421491745,9.6172245304763e-06,2020-01-31,1
0.0013647969314100974,0.0006386920428462176,0.9979965110258003,2020-02-29,3
6.215091155797289e-93,2.6332128523947166e-134,1.0,2020-03-31,3
3.9565654418345956e-66,1.268858819329134e-34,1.0,2020-04-30,3
4.3003135853177455e-66,1.0,1.6639198691120596e-25,2020-05-31,2
1.5424831487579492e-26,0.00022715322565882625,0.9997728467742901,2020-06-30,3
1.7442375763395336e-18,0.006352677455031744,0.993647322545009,2020-07-31,3
8.7563548557254e-12,0.5004670970811437,0.4995329029100807,2020-08-31,2
1.3906101358124812e-11,0.00550765662366273,0.9944923433624511,2020-09-30,3
3.590107516051033e-16,8.726668267713123e-05,0.9999127333172916,2020-10-31,3
8.606846081638672e-28,0.03290192985410999,0.9670980701459204,2020-11-30,3
3.007484743117441e-11,0.9956642938538232,0.004335706116147778,2020-12-31,2
1.0619670291552346e-12,0.9997838384056211,0.00021616159330162488,2021-01-31,2
1.1571214862152665e-16,0.999998911645572,1.0883544513251483e-06,2021-02-28,2
7.036112239798711e-14,0.9999999999998863,1.7261640952445666e-16,2021-03-31,2
4.0448731343239286e-10,0.9999999995955022,6.911077564206425e-15,2021-04-30,2
1.9472578212517558e-10,0.9999999998020712,3.2502872089900625e-12,2021-05-31,2
2.207084896803298e-08,0.9999999779269049,2.2651534232185557e-12,2021-06-30,2
1.089533582709838e-05,0.9999890894895934,1.5174584158636633e-08,2021-07-31,2
1.4760255662766927e-05,0.9999852397443408,1.0263528721694234e-15,2021-08-31,2
6.219235087037803e-09,0.9999997451582527,2.486225491204605e-07,2021-09-30,2
4.5694684303743734e-10,0.9999999993104893,2.3259287122637253e-10,2021-10-31,2
5.910037578622106e-06,0.9999940899624128,3.5185649067601104e-21,2021-11-30,2
4.935145633585974e-12,0.9991591599928645,0.000840840002247018,2021-12-31,2
5.864559641034731e-13,0.9967871093358012,0.003212890663563821,2022-01-31,2
3.796101894831787e-13,0.9971047662413371,0.002895233758249981,2022-02-28,2
1.224129376793403e-13,0.9987080187739471,0.0012919812259578776,2022-03-31,2
5.395997229211188e-09,2.0792747662531103e-05,0.9999792018563151,2022-04-30,3
2.3963159468149343e-22,0.00022413129676363415,0.9997758687032016,2022-05-31,3
4.208129214030758e-14,3.706763757329185e-08,0.9999999629322935,2022-06-30,3
4.285390325903235e-14,1.8323969686651754e-08,0.9999999816759557,2022-07-31,3
5.68985125972849e-07,0.008137308942144842,0.9918621220727857,2022-08-31,3
2.6645160696947235e-15,1.8104029465198188e-10,0.9999999998190106,2022-09-30,3
3.292907462720834e-29,6.301898033175877e-13,0.9999999999993179,2022-10-31,3
1.4961406018375011e-10,0.9999905709087241,9.42894166898545e-06,2022-11-30,2
1.6301133763779994e-11,0.9999999597804398,4.020327131819933e-08,2022-12-31,2
9.409102685375739e-08,0.9999996709939837,2.3491497724753734e-07,2023-01-31,2
0.0018593470108835806,0.998140632891837,2.0097311029491227e-08,2023-02-28,2
9.832580981855759e-06,0.9999900941540505,7.326492241573995e-08,2023-03-31,2
0.9982547440393418,0.0017452559484612076,1.2146553565230637e-11,2023-04-30,1
0.9998350298867091,0.00016496793025576122,2.1830141665697826e-09,2023-05-31,1
1.0,2.9301840277096895e-25,1.2396949601700305e-39,2023-06-30,1
1.0,1.0181787850983141e-22,1.0344355269756213e-39,2023-07-31,1
1.0,7.025469324292388e-20,1.1337115448448355e-32,2023-08-31,1
1.0,7.105200662887525e-26,1.5867584235893095e-39,2023-09-30,1
0.99999359983396,6.365670427213566e-06,3.4495628084315804e-08,2023-10-31,1
0.999999984471515,1.5501310619401585e-08,2.7183589201851887e-11,2023-11-30,1
1.0,1.466631889148712e-25,1.01802501064688e-24,2023-12-31,1
0.9999999999996589,3.2686349557023515e-13,7.120428913049714e-17,2024-01-31,1
1.0,9.03992994814239e-20,5.305090180675388e-26,2024-02-29,1
1.0,1.3435783239433916e-23,7.763604025374981e-30,2024-03-31,1
1.0,9.270688781222679e-18,9.73889290261979e-22,2024-04-30,1
1.0,3.1996049773794823e-20,9.707465657926242e-23,2024-05-31,1
1.0,2.504161580229055e-19,3.5991759574535913e-26,2024-06-30,1
1.0,8.545806573465513e-15,3.57985809942742e-16,2024-07-31,1
1.0,7.293168631938655e-18,1.6822259086806732e-17,2024-08-31,1
1.0,1.1212594690433593e-17,2.595701683260308e-16,2024-09-30,1
0.9999999999997726,2.1919837703280886e-13,1.1179326622836302e-20,2024-10-31,1
0.9999999993437996,6.561333922613009e-10,2.2461191066623547e-14,2024-11-30,1
0.9999999911440227,8.775866785514965e-09,8.01193375535313e-11,2024-12-31,1
0.9999832958096931,1.5413489495031012e-05,1.2907007673340729e-06,2025-01-31,1
0.9946734222620713,0.0003933923543144987,0.004933185383562084,2025-02-28,1
3.764100427076359e-06,0.023566484199540137,0.9764297517000468,2025-03-31,3
5.294276803750781e-22,6.040732786182299e-08,0.9999999395927279,2025-04-30,3
2.6633075775319877e-07,0.9955967371349843,0.004402996534227838,2025-05-31,2
2.823476507491382e-06,0.9989580009969609,0.0010391755265347184,2025-06-30,2
0.012987831221101144,0.9869876971104986,2.4471668384174013e-05,2025-07-31,2
0.010896792812244278,0.9891032042651513,2.922563625126291e-09,2025-08-31,2
0.008588024491169879,0.9914117146317096,2.6087709177853257e-07,2025-09-30,2
0.0016112297812889138,0.9983809993809122,7.770837750302974e-06,2025-10-31,2
0.00014591072340060867,0.9998450618895289,9.027387120529756e-06,2025-11-30,2
0.016643703409286812,0.9833560254751462,2.711155141966437e-07,2025-12-31,2
0.0024245229799073247,0.9963773052245951,0.0011981717955380719,2026-01-31,2
1.152566063083614e-05,0.999805896803931,0.000182577535433233,2026-02-28,2
1.2035128263936206e-28,1.0,8.632740798598367e-21,2026-03-31,2
7.729180587603137e-07,0.9999685077689152,3.071931297882234e-05,2026-04-30,2
