date,equity_ret,oil_ret,dollar_ret,vix_level,term_spread,d10_change,trend_12m
2017-05-31,-0.14787304232260517,-0.28066060418509964,-0.46442110326996033,-0.8921479562276404,1.348242831062997,-0.006411835320716684,0.030876945634824987
2017-06-30,-0.2886710816129406,-0.5047927100858669,-0.4059998935657545,-0.9366936299995788,1.051658389092584,-0.5154996860165504,0.06197073181029215
2017-07-31,0.012799747047714643,0.6081060882005456,-0.7193447135579443,-0.968526073017049,1.242038171062609,0.5102356483767021,-0.06431954068048702
2017-08-31,-0.3780089376146073,-0.6068105455713414,-0.11201021819957976,-0.7498901690676321,1.1070397010765032,-0.48262397268197227,-0.05022532654568487
2017-09-30,0.011855046445474755,0.6251750730167358,0.3053517186895827,-0.9463577761738301,1.0006561512392897,-0.061827920353743474,0.11219475583435776
2017-10-31,0.07119003161392284,0.30877909608614174,0.656166941454855,-0.9862920725044493,0.9874106721009203,0.6211564415020743,0.44384937973278754
2017-11-30,0.19188845986903302,0.33892386114840656,-0.4243077181424432,-0.9332642740998333,0.6973571289352501,-0.059909761710652605,0.3967057547715663
2017-12-31,-0.1841064913821557,0.31853902177433974,-0.08875821043478213,-0.968526073017049,0.5122347205030428,0.17101855618030098,0.33084544814728634
2018-01-31,0.7578548136802401,0.46409831052442985,-1.1481619892221226,-0.8665798955073589,0.4997974400917598,0.7175653213379982,0.6255440751888447
2018-02-28,-1.2233816497938044,-0.5505920009062696,0.6395202152562492,0.5903123815844841,0.7483067329001503,1.1056420310694572,0.01709952645648667
2018-03-31,-0.9615440646932503,0.33950988169015056,-0.28263732431580946,0.1506610950834964,0.5276353962469784,-0.10085541789600792,-0.19726034918355326
2018-04-30,-0.3324835853073825,0.3463956924724533,0.7208253359905239,0.054041758217757765,0.3731796395147956,0.07795789076156022,-0.24781187073040753
2018-05-31,0.05927962154480755,-0.3005089166721674,0.9889622466825989,-0.4753235746615344,0.33762705914647406,0.41716603051299517,-0.1690644968381305
2018-06-30,-0.2880742781260226,0.72564347876104,0.4906559828124392,-0.5323670382003688,0.1738239535000007,-0.30261054473153914,-0.16883762692273985
2018-07-31,0.3533635699673483,-0.594396212754692,-0.1348000868968591,-0.6001465981930842,-0.00846975938740159,-0.1288435879467581,-0.0393751030191095
2018-08-31,0.23636503552623436,-0.1134226846523253,0.5827393981270944,-0.6768939479124142,-0.0629743691948144,-0.03199370288708597,0.194174087560314
2018-09-30,-0.299527293298039,0.2733294962282215,-0.11217210945840735,-0.6304402123635036,-0.09533930677839159,0.4436384307627946,0.07580466341943597
2018-10-31,-1.8993705429733683,-1.0424202707479369,0.9750986732242922,0.1926165951024047,0.00846975938740159,0.580053410757845,-0.6732876603159026
