iteration,loglik
0,-720.7719899742265
1,-711.0154829601738
2,-705.0163860405198
3,-704.4049379834333
4,-704.313994494686
5,-704.2769910759883
6,-704.2622537488875
7,-704.2568880547569
8,-704.2550573558211
9,-704.2544556478235
10,-704.254261639056
11,-704.2541995792376
12,-704.2541797262028
13,-704.2541733267409
14,-704.2541712289049
15,-704.2541705206431
