date,prob_calmer_growth,prob_transition,prob_stress,assigned_regime
2017-05-31,0.9999999998576516,0.0,1.4234849034108306e-10,Calmer Growth
2017-06-30,0.9999999376686689,0.0,6.23313314281053e-08,Calmer Growth
2017-07-31,0.999999973947736,0.0,2.605226406703748e-08,Calmer Growth
2017-08-31,0.999999954048475,0.0,4.595152502852178e-08,Calmer Growth
2017-09-30,0.9998867115514648,0.0,0.00011328844853501573,Calmer Growth
2017-10-31,0.9999002160379726,0.0,9.978396202714683e-05,Calmer Growth
2017-11-30,0.9995471255569249,0.0,0.00045287444307519456,Calmer Growth
2017-12-31,0.9979673826379215,0.0,0.002032617362078308,Calmer Growth
2018-01-31,0.9988584557915327,0.0,0.0011415442084672742,Calmer Growth
2018-02-28,0.7268119329730629,0.0,0.2731880670269374,Calmer Growth
2018-03-31,0.40709714935215535,0.0,0.5929028506478443,Stress
2018-04-30,0.9285680396996443,0.0,0.07143196030035541,Calmer Growth
2018-05-31,0.9985481631006634,0.0,0.001451836899336307,Calmer Growth
2018-06-30,0.946669591101457,0.0,0.0533304088985433,Calmer Growth
2018-07-31,0.9997383298322213,0.0,0.000261670167778359,Calmer Growth
2018-08-31,0.9994607702634163,0.0,0.0005392297365834539,Calmer Growth
2018-09-30,0.9934007092418233,0.0,0.006599290758176251,Calmer Growth
2018-10-31,0.2771815427262862,0.0,0.7228184572737136,Stress
2018-11-30,0.9993934354740092,0.0,0.0006065645259908305,Calmer Growth
2018-12-31,7.278751916989836e-07,0.0,0.999999272124809,Stress
2019-01-31,0.012048824998870854,0.0,0.9879511750011296,Stress
2019-02-28,0.9169525987317012,0.0,0.08304740126829845,Calmer Growth
2019-03-31,0.9591923021553409,0.0,0.04080769784465942,Calmer Growth
2019-04-30,0.9889183705957946,0.0,0.011081629404205208,Calmer Growth
2019-05-31,0.30833971066926247,0.0,0.6916602893307373,Stress
2019-06-30,0.590944599591531,0.0,0.4090554004084694,Calmer Growth
2019-07-31,0.9931847634983479,0.0,0.00681523650165217,Calmer Growth
2019-08-31,0.08004463088748413,0.0,0.9199553691125151,Stress
2019-09-30,0.9800758316058582,0.0,0.019924168394142,Calmer Growth
2019-10-31,0.9883408617215479,0.0,0.011659138278452165,Calmer Growth
2019-11-30,0.9948568881878911,0.0,0.005143111812108918,Calmer Growth
