date,prob_calmer_growth,prob_transition,prob_stress,assigned_regime
2017-05-31,1.0,7.087055861930306e-277,9.665574536147521e-23,Calmer Growth
2017-06-30,0.9999999998350404,4.988968101161429e-143,1.6496866942369902e-10,Calmer Growth
2017-07-31,0.9999999995196731,0.0,4.80357609616443e-10,Calmer Growth
2017-08-31,0.9999999999146212,5.246648645498611e-151,8.541793722819647e-11,Calmer Growth
2017-09-30,0.9999999627635823,0.0,3.723639711923003e-08,Calmer Growth
2017-10-31,0.9999999881441682,0.0,1.1855820107215079e-08,Calmer Growth
2017-11-30,0.9999996497580854,2.0368355799343523e-191,3.5024188297376474e-07,Calmer Growth
2017-12-31,0.9999986437520749,1.8505570044680637e-204,1.3562479227728026e-06,Calmer Growth
2018-01-31,0.9999947906169784,3.387649253293671e-153,5.209382989717411e-06,Calmer Growth
2018-02-28,0.0070945073343695085,0.9922449321197457,0.0006605605458311491,Transition
2018-03-31,0.13635618883876557,2.0473081506240572e-10,0.8636438109564799,Stress
2018-04-30,0.9635888063738846,1.697700315642164e-107,0.03641119362606268,Calmer Growth
2018-05-31,0.999998012838474,0.0,1.987161522847216e-06,Calmer Growth
2018-06-30,0.9999679325142906,3.476758156435819e-182,3.206748568170505e-05,Calmer Growth
2018-07-31,0.9999997657215819,1.1697978651041915e-92,2.3427837763468416e-07,Calmer Growth
2018-08-31,0.9999995405303171,3.536549925424724e-203,4.5946965274504566e-07,Calmer Growth
2018-09-30,0.9999068160736538,1.3980182972387003e-77,9.318392634024849e-05,Calmer Growth
2018-10-31,0.0018208140758958992,0.9981205443481418,5.864157594951384e-05,Transition
2018-11-30,1.3735977445947318e-06,0.999998185235027,4.41167257966889e-07,Transition
2018-12-31,1.0048994925683504e-10,0.0,0.9999999998995008,Stress
2019-01-31,1.1930584640549107e-05,1.1778510134691655e-203,0.9999880694153964,Stress
2019-02-28,0.970209272831308,1.426207411972853e-246,0.029790727168647835,Calmer Growth
2019-03-31,0.999775966523921,1.3850167299264994e-141,0.00022403347606641426,Calmer Growth
2019-04-30,0.9999855676413848,1.7303967221850757e-210,1.4432358590891003e-05,Calmer Growth
2019-05-31,0.9987158576490613,1.6853253718651742e-14,0.0012841423509267241,Calmer Growth
2019-06-30,0.9977631684780434,3.6104544473658453e-53,0.0022368315220054405,Calmer Growth
2019-07-31,0.9999951982730868,8.583912003705854e-225,4.801726921953278e-06,Calmer Growth
2019-08-31,0.9997660723273756,4.230446427010368e-14,0.0002339276725381314,Calmer Growth
2019-09-30,0.999918544088122,4.6012449543834006e-111,8.145591190242572e-05,Calmer Growth
2019-10-31,0.9999415180105342,3.0257394815466805e-13,5.8481989166909106e-05,Calmer Growth
2019-11-30,0.9999928579395988,0.0,7.142060413178006e-06,Calmer Growth
2019-12-31,0.9999901472591489,1.0027532927924975e-22,9.852740905553892e-06,Calmer Growth
2020-01-31,0.003671240087363038,0.9963285761526809,1.837599657273003e-07,Transition
2020-02-29,0.00012131740088671627,7.939058954963728e-179,0.9998786825990801,Stress
2020-03-31,1.4118500292572076e-66,0.0,1.0,Stress
2020-04-30,4.130163598736229e-35,7.106429633381204e-229,1.0,Stress
2020-05-31,7.544845553044985e-39,1.0,2.935645263119052e-19,Transition
2020-06-30,1.5173590776479926e-14,4.982341798029067e-60,1.0,Stress
2020-07-31,1.828261386696989e-08,1.8835692192396605e-101,0.9999999817173377,Stress
2020-08-31,4.885962316945786e-07,0.9801638107190951,0.019835700684617735,Transition
2020-09-30,1.911418770714843e-07,2.725114247540328e-202,0.9999998088581107,Stress
2020-10-31,3.065195048148885e-10,1.9539897708011277e-255,0.9999999996935003,Stress
2020-11-30,2.4274163935700725e-11,1.5076298472196612e-42,0.999999999975671,Stress
2020-12-31,0.0001247881720617783,0.9522079944122522,0.04766721741567064,Transition
2021-01-31,5.460799122220247e-07,0.9493802225248035,0.05061923139525212,Transition
2021-02-28,0.010477915032790842,6.499517974465176e-42,0.9895220849671571,Stress
2021-03-31,0.9999372653432873,6.614282702621317e-16,6.27346566950364e-05,Calmer Growth
2021-04-30,0.9999991461067119,7.50818739799695e-29,8.538933398983042e-07,Calmer Growth
2021-05-31,0.9999453121631607,5.93490320461712e-09,5.4681901950946724e-05,Calmer Growth
2021-06-30,0.9999950667805745,1.9936073058996155e-106,4.933219468993421e-06,Calmer Growth
2021-07-31,0.9999784100691692,1.8638511782848966e-05,2.9514190077932165e-06,Calmer Growth
2021-08-31,0.9999999197021939,7.202202236179313e-33,8.029784036012724e-08,Calmer Growth
2021-09-30,0.011146401055457849,0.9885437263203349,0.0003098726241704999,Transition
2021-10-31,0.9973503559435692,9.547671510413732e-124,0.0026496440564416166,Calmer Growth
2021-11-30,0.9999999166717578,6.674610851450037e-08,1.6582089758225984e-08,Calmer Growth
2021-12-31,0.00036435503987925535,0.9970148820282374,0.0026207629318562476,Transition
2022-01-31,5.4858253713192866e-08,1.1421173397005929e-32,0.9999999451417823,Stress
2022-02-28,7.362441985351298e-08,1.8213573245288606e-120,0.9999999263756107,Stress
2022-03-31,1.9248978907259665e-07,3.819821185054942e-30,0.9999998075102398,Stress
2022-04-30,5.61397264140217e-10,6.7514896589030744e-40,0.9999999994386144,Stress
2022-05-31,1.7431053954267743e-14,1.256918407105431e-56,1.0,Stress
2022-06-30,1.4076570253558744e-12,3.70346218475522e-19,0.9999999999986358,Stress
2022-07-31,4.393922179992431e-11,8.345034222600967e-59,0.9999999999561169,Stress
2022-08-31,8.702954433800993e-07,4.899681953084443e-06,0.999994230022642,Stress
2022-09-30,7.533262977991741e-15,3.8536802412141285e-12,0.9999999999961346,Stress
2022-10-31,1.1438388676131602e-24,1.6952479760265926e-164,1.0,Stress
2022-11-30,1.9341549909380973e-10,6.687033992804758e-79,0.9999999998066187,Stress
2022-12-31,4.300125331418429e-10,1.3236604118260607e-200,0.9999999995700364,Stress
2023-01-31,1.3447973292080825e-07,2.862319714901059e-10,0.99999986523404,Stress
2023-02-28,0.0002383970116540592,7.951012966842892e-17,0.9997616029883721,Stress
2023-03-31,4.9910305841525365e-05,2.1674544740009035e-21,0.9999500896941604,Stress
2023-04-30,0.9890635709620629,3.5008726802900594e-14,0.01093642903791306,Calmer Growth
2023-05-31,0.9998554533079327,2.4480186947438677e-09,0.00014454424407010267,Calmer Growth
2023-06-30,0.9999999999994316,6.17728553772507e-36,6.183345776471973e-13,Calmer Growth
2023-07-31,0.9999999999623697,1.1740034830068722e-44,3.767864953537894e-11,Calmer Growth
2023-08-31,0.999999999994543,2.8827245283713783e-21,5.489086145254934e-12,Calmer Growth
2023-09-30,0.9999999999992042,3.249303607139544e-75,8.327739170961679e-13,Calmer Growth
2023-10-31,0.9999307840408106,2.746343854294604e-12,6.921595644668247e-05,Calmer Growth
