,equity_ret,oil_ret,dollar_ret,vix_level,term_spread,d10_change,trend_12m
Calmer Growth,-0.0017957082048211958,-0.04723500055997281,0.0853977830848747,-0.34366666483260283,0.002829167866459272,-0.0064949739315158265,0.27201515700470014
Transition,-0.29172679970806,0.40393853417212,0.11470808920457264,0.47958794723459,0.5884831334450916,0.163616520598221,0.13561792790485155
Stress,-0.49166637213631,-0.2751636130649509,-0.014249539809083769,1.0659385971036426,-0.22869768659007061,0.09944155313125248,-1.041185653649064
