,Calmer Growth,Transition,Stress
Calmer Growth,0.8794535388106616,0.10464823709137634,0.015898224097962068
Transition,0.14746424851741352,0.30903011105577066,0.5435056404268158
Stress,0.1595295133683026,0.09769046680168092,0.7427800198300165
