,prob_calmer_growth,prob_transition,prob_stress
prob_calmer_growth,0.8807636885967673,0.008079990865184029,0.11115632053804865
prob_transition,0.34977289419135826,0.30000000000000004,0.35022710580864175
prob_stress,0.2568988302656507,0.025633509617935608,0.7174676601164137
