,equity_ret,oil_ret,dollar_ret,vix_level,term_spread,d10_change,trend_12m
Calmer Growth,0.015104319678186201,-0.0467333502050725,0.0612769822148168,-0.2240663623467316,0.06722792837390426,0.07046756878765568,0.25722916293726955
Transition,-0.4733282069214071,4.186634009739324,0.3535519120440623,1.3291072565706858,0.43478846520816783,0.24994896517392892,-0.07902311599394281
Stress,-0.6180870884432001,-0.3472777580808286,0.04138627497731596,0.9998390142055988,-0.15159174822839264,-0.030347653949823597,-1.015152716404003
