date,prob_calmer_growth,prob_transition,prob_stress,assigned_regime
2017-05-31,1.0,0.0,2.3075619923519783e-22,Calmer Growth
2017-06-30,0.9999999992261336,0.0,7.739160380102212e-10,Calmer Growth
2017-07-31,0.9999999951418204,0.0,4.8581419882728695e-09,Calmer Growth
2017-08-31,0.9999999996372252,0.0,3.6276700761094926e-10,Calmer Growth
2017-09-30,0.999999817348242,0.0,1.8265174651977837e-07,Calmer Growth
2017-10-31,0.999999926818421,0.0,7.318157468828373e-08,Calmer Growth
2017-11-30,0.9999979926123754,0.0,2.007387620553223e-06,Calmer Growth
2017-12-31,0.9999938454279336,0.0,6.154572076126702e-06,Calmer Growth
2018-01-31,0.9999799021230164,0.0,2.0097876965985545e-05,Calmer Growth
2018-02-28,0.9880839099898922,0.0,0.0119160900100864,Calmer Growth
2018-03-31,0.9750291488934134,0.0,0.0249708511066163,Calmer Growth
2018-04-30,0.9982654288561796,0.0,0.0017345711438433,Calmer Growth
2018-05-31,0.9999990464309576,0.0,9.53569010119744e-07,Calmer Growth
2018-06-30,0.9999011038666696,0.0,9.88961333283588e-05,Calmer Growth
2018-07-31,0.999999239153288,0.0,7.608466840314036e-07,Calmer Growth
2018-08-31,0.999998098260324,0.0,1.90173962858199e-06,Calmer Growth
2018-09-30,0.9999067514402992,0.0,9.324855967747392e-05,Calmer Growth
2018-10-31,0.9980043572265472,0.0,0.0019956427734075,Calmer Growth
2018-11-30,0.9997941655882584,0.0,0.0002058344117283,Calmer Growth
2018-12-31,7.038466569087051e-06,0.0,0.9999929615333804,Stress
2019-01-31,3.39838222308273e-05,0.0,0.9999660161777706,Stress
2019-02-28,0.9524733972405788,0.0,0.0475266027594596,Calmer Growth
2019-03-31,0.9993767372353484,0.0,0.0006232627646502,Calmer Growth
2019-04-30,0.9999483700844448,0.0,5.1629915534212675e-05,Calmer Growth
2019-05-31,0.9994642708670014,0.0,0.0005357291329495,Calmer Growth
2019-06-30,0.9940219299787076,0.0,0.0059780700212677,Calmer Growth
2019-07-31,0.9999824932019652,0.0,1.7506798082876364e-05,Calmer Growth
2019-08-31,0.9994584170807486,0.0,0.0005415829192664,Calmer Growth
2019-09-30,0.9997947395584325,0.0,0.0002052604416,Calmer Growth
2019-10-31,0.9997973685107217,0.0,0.0002026314892312,Calmer Growth
2019-11-30,0.9999637831544852,0.0,3.62168455091885e-05,Calmer Growth
2019-12-31,0.999985731780313,0.0,1.4268219630652626e-05,Calmer Growth
2020-01-31,0.9999632415084224,0.0,3.675849152679374e-05,Calmer Growth
2020-02-29,0.1347770181774414,0.0,0.8652229818225708,Stress
2020-03-31,2.6737978131106594e-51,0.0,1.0,Stress
2020-04-30,2.2578748377406284e-30,0.0,1.0,Stress
2020-05-31,2.299859918667657e-44,1.0,1.4766375151336247e-32,Transition
2020-06-30,1.1020341098769503e-10,0.0,0.9999999998898376,Stress
2020-07-31,2.739140669988233e-08,0.0,0.9999999726086348,Stress
2020-08-31,0.0001258711777244,0.0,0.9998741288222314,Stress
2020-09-30,1.3881638570474432e-05,0.0,0.9999861183613928,Stress
2020-10-31,2.1964179556205146e-07,0.0,0.9999997803581904,Stress
2020-11-30,5.2015596297961426e-11,0.0,0.9999999999479314,Stress
2020-12-31,0.0005474269722247,0.0,0.999452573027777,Stress
2021-01-31,0.0003969118688662,0.0,0.9996030881310822,Stress
2021-02-28,0.0247122353517615,0.0,0.9752877646482124,Stress
2021-03-31,0.999565009419452,0.0,0.0004349905805872,Calmer Growth
2021-04-30,0.9999888001043116,0.0,1.119989574362026e-05,Calmer Growth
2021-05-31,0.9998141495418712,0.0,0.0001858504580893,Calmer Growth
2021-06-30,0.9999607295909176,0.0,3.927040909894592e-05,Calmer Growth
2021-07-31,0.9999755270745412,0.0,2.4472925439396934e-05,Calmer Growth
2021-08-31,0.9999997685548846,0.0,2.3144515481931186e-07,Calmer Growth
2021-09-30,0.9910461516901532,0.0,0.0089538483098542,Calmer Growth
2021-10-31,0.9997376910398402,0.0,0.0002623089601506,Calmer Growth
2021-11-30,0.9999996460036926,0.0,3.53996356112443e-07,Calmer Growth
2021-12-31,0.1640419977844446,0.0,0.8359580022155463,Stress
2022-01-31,0.0002967172035672,0.0,0.9997032827964698,Stress
2022-02-28,1.2710974667143911e-05,0.0,0.999987289025352,Stress
2022-03-31,5.753278122619227e-06,0.0,0.9999942467218916,Stress
2022-04-30,2.0505724046576627e-07,0.0,0.9999997949427308,Stress
2022-05-31,3.798698223805088e-11,0.0,0.9999999999620286,Stress
2022-06-30,4.234288227793264e-09,0.0,0.9999999957657336,Stress
2022-07-31,8.15024484382804e-10,0.0,0.9999999991849792,Stress
2022-08-31,2.4881728330937913e-05,0.0,0.9999751182716498,Stress
2022-09-30,3.3013483118871947e-11,0.0,0.9999999999670308,Stress
2022-10-31,3.682872295383616e-21,0.0,1.0,Stress
2022-11-30,1.0145190013238712e-08,0.0,0.999999989854814,Stress
2022-12-31,3.0181563735214257e-08,0.0,0.9999999698184188,Stress
2023-01-31,1.2254391424577517e-06,0.0,0.999998774560891,Stress
2023-02-28,0.0012157848633316,0.0,0.9987842151366396,Stress
2023-03-31,0.0002188528896059,0.0,0.9997811471104294,Stress
2023-04-30,0.9799491861140625,0.0,0.020050813885933,Calmer Growth
2023-05-31,0.9998250175109356,0.0,0.000174982489102,Calmer Growth
2023-06-30,0.9999999999939746,0.0,6.078818146521841e-12,Calmer Growth
2023-07-31,0.9999999996099403,0.0,3.9004719625505646e-10,Calmer Growth
2023-08-31,0.999999999956799,0.0,4.3164822266494976e-11,Calmer Growth
2023-09-30,0.9999999999969305,0.0,3.0137265566111812e-12,Calmer Growth
2023-10-31,0.9999321765684508,0.0,6.782343159021938e-05,Calmer Growth
2023-11-30,0.9999739816007992,0.0,2.601839920057891e-05,Calmer Growth
2023-12-31,0.9999999938276004,0.0,6.172387207674771e-09,Calmer Growth
2024-01-31,0.999999964113045,0.0,3.5886959902235354e-08,Calmer Growth
2024-02-29,0.9999999999427018,0.0,5.733388624140879e-11,Calmer Growth
2024-03-31,0.999999999968054,0.0,3.1948078047885226e-11,Calmer Growth
2024-04-30,0.9999999862914138,0.0,1.3708535977256776e-08,Calmer Growth
2024-05-31,0.9999999996697396,0.0,3.3027054171149295e-10,Calmer Growth
2024-06-30,0.999999999953502,0.0,4.650029243251863e-11,Calmer Growth
2024-07-31,0.9999998839130124,0.0,1.1608703731878288e-07,Calmer Growth
2024-08-31,0.9999994580119042,0.0,5.419881249177537e-07,Calmer Growth
2024-09-30,0.9999999640155016,0.0,3.598448146006346e-08,Calmer Growth
2024-10-31,0.9999999996041424,0.0,3.958790404575695e-10,Calmer Growth
2024-11-30,0.9999999877697976,0.0,1.2230178742356232e-08,Calmer Growth
2024-12-31,0.9999977276027848,0.0,2.2723972067288823e-06,Calmer Growth
2025-01-31,0.9999607191030366,0.0,3.9280896979066384e-05,Calmer Growth
2025-02-28,0.9821831971246816,0.0,0.0178168028752817,Calmer Growth
2025-03-31,0.0021845808997225,0.0,0.99781541910023,Stress
2025-04-30,9.445934694750169e-09,0.0,0.9999999905541016,Stress
2025-05-31,0.1453975565826548,0.0,0.854602443417311,Stress
2025-06-30,0.5562449547386771,0.0,0.4437550452612988,Calmer Growth
2025-07-31,0.99679711045403,0.0,0.0032028895460117,Calmer Growth
2025-08-31,0.9999986053118796,0.0,1.3946880709889392e-06,Calmer Growth
2025-09-30,0.9999935521586676,0.0,6.4478413441969084e-06,Calmer Growth
2025-10-31,0.9999692425703556,0.0,3.075742964588213e-05,Calmer Growth
2025-11-30,0.9997501088710476,0.0,0.0002498911289106,Calmer Growth
2025-12-31,0.9999858761134816,0.0,1.4123886476365428e-05,Calmer Growth
2026-01-31,0.993071873839516,0.0,0.006928126160521,Calmer Growth
2026-02-28,0.9686108420105328,0.0,0.031389157989424,Calmer Growth
2026-03-31,1.1296763495914009e-25,1.0,3.450551155338467e-27,Transition
2026-04-30,0.9576806445112844,0.0,0.0423193554886803,Calmer Growth
