,Calmer Growth,Transition,Stress
Calmer Growth,0.9296536202772137,0.0134822280467586,0.0568641516760275
Transition,0.4788403223107426,0.0,0.5211596776892573
Stress,0.1222666964928016,0.0311067229921352,0.846626580515063
