K,BIC,AIC
1,1982.4879646130455,1888.6133716636978
2,1990.3459234221432,1799.9146062963237
3,1948.5407125312463,1661.5526712289548
4,1966.1049714837868,1582.5602060050235
5,2032.00027961552,1551.8987899602846
